ANA201704080,SEA,5,0,0,0,1,SX
ANA201704080,SEA,5,0,1,2,2,SBBSW
ANA201704080,SEA,5,0,2,3,0,*BBBB
ANA201704080,SEA,5,0,2,1,0,BX
ANA201704080,SEA,5,1,0,3,2,BFCBFBFFE
ANA201704080,SEA,5,1,0,2,2,BCCBS
ANA201704080,SEA,5,1,1,0,1,CX
ANA201704080,SEA,5,1,2,3,1,BBBFD
ANA201704080,SEA,5,1,2,1,0,BX
ANA201704080,SEA,6,0,0,2,2,BBCCX
ANA201704080,SEA,6,0,1,0,1,CX
ANA201704080,SEA,6,0,2,1,2,BSFS
ANA201704080,SEA,6,1,0,0,2,CSS
ANA201704080,SEA,6,1,1,0,0,D
ANA201704080,SEA,6,1,1,1,2,SWBS
ANA201704080,SEA,6,1,2,1,1,CBX
ANA201704080,SEA,7,0,0,0,1,CD
ANA201704080,SEA,7,0,0,0,2,CFX
ANA201704080,SEA,7,0,1,1,1,BSX
ANA201704080,SEA,7,0,2,2,2,*BCSBE
ANA201704080,SEA,7,0,2,0,1,CX
ANA201704080,SEA,7,1,0,0,1,CD
ANA201704080,SEA,7,1,0,1,2,C*BFX
ANA201704080,SEA,7,1,1,1,1,FBE
ANA201704080,SEA,7,1,1,3,2,CBBCBD
ANA201704080,SEA,7,1,1,0,2,FSX
ANA201704080,SEA,8,0,0,0,1,CD
ANA201704080,SEA,8,0,0,0,2,CCFC
ANA201704080,SEA,8,0,1,1,2,FC*BD
ANA201704080,SEA,8,0,1,3,2,B*BBSFFFFE
ANA201704080,SEA,8,0,2,2,2,CBC*BW
ANA201704080,SEA,8,1,0,0,2,CFX
ANA201704080,SEA,8,1,1,3,1,BCBBB
ANA201704080,SEA,8,1,1,0,2,FFS
ANA201704080,SEA,8,1,2,2,2,FBBFX
ANA201704080,SEA,9,0,0,1,2,CSBS
ANA201704080,SEA,9,0,1,1,2,SBSW
ANA201704080,SEA,9,0,2,2,2,CBCBS
ANA201704090,SEA,1,0,0,2,0,BBH
ANA201704090,SEA,1,0,0,0,1,CX
ANA201704090,SEA,1,0,1,1,2,CBFB
ANA201704090,SEA,1,0,1,2,2,CBFBX
ANA201704090,SEA,1,0,2,1,0,*B
ANA201704090,SEA,1,0,2,1,0,*BX
ANA201704090,SEA,1,1,0,2,0,BBX
ANA201704090,SEA,1,1,1,1,0,BX
ANA201704090,SEA,1,1,2,3,1,BBFBB
ANA201704090,SEA,1,1,2,1,2,BSFX
ANA201704090,SEA,2,0,0,1,2,CCBX
ANA201704090,SEA,2,0,1,0,1,CX
ANA201704090,SEA,2,0,2,0,1,CX
ANA201704090,SEA,2,1,0,2,0,BBE
ANA201704090,SEA,2,1,0,1,2,CFFBW
ANA201704090,SEA,2,1,1,0,1,CX
ANA201704090,SEA,2,1,2,2,1,BBSX
ANA201704090,SEA,3,0,0,2,2,CSBBD
ANA201704090,SEA,3,0,0,0,1,CX
ANA201704090,SEA,3,0,1,0,0,D
ANA201704090,SEA,3,0,1,0,2,FCS
ANA201704090,SEA,3,0,2,2,1,FBBE
ANA201704090,SEA,3,0,2,1,2,CSBX
ANA201704090,SEA,3,1,0,0,2,CSX
ANA201704090,SEA,3,1,1,1,0,BX
ANA201704090,SEA,3,1,2,3,2,BBCCBB
ANA201704090,SEA,3,1,2,1,2,FBFS
ANA201704090,SEA,4,0,0,1,2,CFFBFX
ANA201704090,SEA,4,0,1,2,0,BBX
ANA201704090,SEA,4,0,2,0,1,FD
ANA201704090,SEA,4,0,2,0,0,C
ANA201704090,SEA,4,1,0,3,2,CBSBBX
ANA201704090,SEA,4,1,1,3,2,CBBSFBFB
ANA201704090,SEA,4,1,1,1,1,*BSX
ANA201704090,SEA,5,0,0,0,1,FX
ANA201704090,SEA,5,0,1,3,2,CSBBBFB
ANA201704090,SEA,5,0,1,0,2,CFX
ANA201704090,SEA,5,0,1,0,1,FH
ANA201704090,SEA,5,0,1,0,2,CSE
ANA201704090,SEA,5,0,1,3,2,CBFBBB
ANA201704090,SEA,5,0,1,3,2,CS*BBBE
ANA201704090,SEA,5,0,2,1,2,FCBFX
ANA201704090,SEA,5,1,0,1,2,CCBFX
ANA201704090,SEA,5,1,1,1,2,BCSX
ANA201704090,SEA,5,1,2,1,2,CCFBX
ANA201704090,SEA,6,0,0,3,1,BBCBX
ANA201704090,SEA,6,0,1,1,1,BFX
ANA201704090,SEA,6,0,2,0,2,CSS
ANA201704090,SEA,6,1,0,1,2,CFBX
ANA201704090,SEA,6,1,1,1,0,BD
ANA201704090,SEA,6,1,1,0,2,CFB
ANA201704090,SEA,6,1,1,1,2,CFBX
ANA201704090,SEA,6,1,2,2,2,BBFFX
ANA201704090,SEA,7,0,0,2,2,SBFBFFS
ANA201704090,SEA,7,0,1,2,1,BBCE
ANA201704090,SEA,7,0,1,0,1,FX
ANA201704090,SEA,7,0,2,2,1,CBBX
ANA201704090,SEA,7,1,0,0,1,CX
ANA201704090,SEA,7,1,1,1,0,BD
ANA201704090,SEA,7,1,1,1,2,BCFFD
ANA201704090,SEA,7,1,1,1,2,SSBS
ANA201704090,SEA,7,1,2,0,0,E
ANA201704090,SEA,8,0,0,1,0,BX
ANA201704090,SEA,8,0,1,1,2,CBCFFD
ANA201704090,SEA,8,0,1,2,2,*BFBFX
ANA201704090,SEA,8,0,2,1,2,SBSE
ANA201704090,SEA,8,0,2,0,2,CCFFS
ANA201704090,SEA,8,1,0,3,1,BBBCD
ANA201704090,SEA,8,1,0,1,1,CBX
ANA201704090,SEA,8,1,2,2,2,CBSBS
ANA201704090,SEA,9,0,0,2,2,BSSBS
ANA201704090,SEA,9,0,1,2,2,BBCFX
ANA201704090,SEA,9,0,2,1,1,BCX
ANA201704090,SEA,9,1,0,0,0,E
ANA201704090,SEA,9,1,0,3,2,BCBFFBFB
ANA201704090,SEA,9,1,0,0,0,D
ANA201704090,SEA,9,1,0,3,0,BBBB
ANA201704090,SEA,9,1,0,0,1,WE
ANA201704090,SEA,9,1,1,3,2,C*BS*BBS
ANA201704090,SEA,9,1,2,2,1,BC*BE
ANA201704090,SEA,9,1,2,1,0,*BB
ANA201704090,SEA,9,1,2,3,0,*BB*BB
ANA201704090,SEA,9,1,2,3,0,*BBBB
ANA201704090,SEA,9,1,2,0,1,CE
ANA201704090,SEA,9,1,2,0,0,E
ARI201704020,SFN,1,0,0,1,1,CBX
ARI201704020,SFN,1,0,1,3,2,FFBBBB
ARI201704020,SFN,1,0,1,1,1,BSD
ARI201704020,SFN,1,0,1,1,2,*BFCC
ARI201704020,SFN,1,0,2,3,2,CSB*B*BFFX
ARI201704020,SFN,1,1,0,0,0,X
ARI201704020,SFN,1,1,1,0,2,FFW
ARI201704020,SFN,1,1,2,3,2,CBBBFX
ARI201704020,SFN,2,0,0,0,1,CD
ARI201704020,SFN,2,0,0,0,1,TB
ARI201704020,SFN,2,0,0,1,1,TBX
ARI201704020,SFN,2,0,1,2,2,BFTBE
ARI201704020,SFN,2,0,2,3,2,FBSBBFB
ARI201704020,SFN,2,0,2,2,0,BBX
ARI201704020,SFN,2,1,0,0,2,CFS
ARI201704020,SFN,2,1,1,1,2,CFBC
ARI201704020,SFN,2,1,2,0,2,SCS
ARI201704020,SFN,3,0,0,2,2,FBBCFFC
ARI201704020,SFN,3,0,1,2,2,BSCBS
ARI201704020,SFN,3,0,2,3,2,SBBBSX
ARI201704020,SFN,3,1,0,1,0,BX
ARI201704020,SFN,3,1,1,1,2,CFBFX
ARI201704020,SFN,3,1,2,0,1,FX
ARI201704020,SFN,4,0,0,3,2,BBCFBX
ARI201704020,SFN,4,0,1,1,1,CBD
ARI201704020,SFN,4,0,1,2,2,BCF*BW
ARI201704020,SFN,4,0,2,0,0,X
ARI201704020,SFN,4,1,0,1,1,CBX
ARI201704020,SFN,4,1,1,2,2,BFFBW
ARI201704020,SFN,4,1,2,1,1,SBX
ARI201704020,SFN,5,0,0,1,2,CBFE
ARI201704020,SFN,5,0,0,2,2,CBFBX
ARI201704020,SFN,5,0,1,1,1,SBX
ARI201704020,SFN,5,0,2,1,1,CBX
ARI201704020,SFN,5,1,0,3,2,BCFBBS
ARI201704020,SFN,5,1,1,0,2,FFFW
ARI201704020,SFN,5,1,2,2,1,BBFX
ARI201704020,SFN,6,0,0,1,0,BX
ARI201704020,SFN,6,0,1,0,0,D
ARI201704020,SFN,6,0,1,0,1,SE
ARI201704020,SFN,6,0,1,0,0,B
ARI201704020,SFN,6,0,1,2,2,BSSB
ARI201704020,SFN,6,0,2,3,2,BSSBBFC
ARI201704020,SFN,6,1,0,2,2,CFBBS
ARI201704020,SFN,6,1,1,1,0,BD
ARI201704020,SFN,6,1,1,0,1,CE
ARI201704020,SFN,6,1,1,0,1,CE
ARI201704020,SFN,6,1,1,1,2,BCFS
ARI201704020,SFN,6,1,2,0,2,CCD
ARI201704020,SFN,6,1,2,1,2,SSFBW
ARI201704020,SFN,7,0,0,0,2,CFX
ARI201704020,SFN,7,0,1,2,0,BBE
ARI201704020,SFN,7,0,1,2,2,BSBFFD
ARI201704020,SFN,7,0,1,0,0,BS
ARI201704020,SFN,7,0,2,2,1,BSBX
ARI201704020,SFN,7,1,0,0,2,CCC
ARI201704020,SFN,7,1,1,2,1,CBBD
ARI201704020,SFN,7,1,1,0,1,FX
