ANA201704070,490160
ANA201704080,490175
ANA201704090,490190
ANA201704110,490214
ANA201704120,490229
ANA201704130,490239
ANA201704210,490349
ANA201704220,490364
ANA201704230,490379
ANA201704240,490388
ANA201704250,490399
ANA201704260,490414
ANA201704270,490425
ANA201705050,490534
ANA201705060,490549
ANA201705070,490564
ANA201705110,490615
ANA201705120,490628
ANA201705130,490643
ANA201705140,490658
ANA201705150,490670
ANA201705160,490680
ANA201705170,490694
ANA201705290,490860
ANA201705300,490875
ANA201705310,490890
ANA201706010,490909
ANA201706020,490920
ANA201706030,490935
ANA201706040,490950
ANA201706120,491056
ANA201706130,491069
ANA201706140,491085
ANA201706150,491092
ANA201706160,491105
ANA201706170,491120
ANA201706180,491135
ANA201706280,491270
ANA201706290,491284
ANA201706300,491304
ANA201707010,491319
ANA201707020,491334
ANA201707140,491446
ANA201707150,491461
ANA201707160,491476
ANA201707180,491507
ANA201707190,491522
ANA201707210,491533
ANA201707220,491548
ANA201707230,491563
ANA201708010,491689
ANA201708020,491705
ANA201708030,491719
ANA201708040,491731
ANA201708050,491746
ANA201708060,491761
ANA201708070,491769
ANA201708080,491776
ANA201708090,491791
ANA201708210,491965
ANA201708220,491978
ANA201708230,491993
ANA201708240,492005
ANA201708250,492012
ANA201708260,492027
ANA201708270,492042
ANA201708280,492058
ANA201708290,492071
ANA201708300,492086
ANA201709120,492260
ANA201709130,492275
ANA201709140,492289
ANA201709150,492309
ANA201709160,492324
ANA201709170,492339
ANA201709190,492352
ANA201709200,492367
ANA201709210,492380
ANA201709290,492497
ANA201709300,492512
ANA201710010,492527
ARI201704020,490110
ARI201704040,490118
ARI201704050,490132
ARI201704060,490145
ARI201704070,490152
ARI201704080,490167
ARI201704090,490182
ARI201704210,490343
ARI201704220,490358
ARI201704230,490373
ARI201704240,490386
ARI201704250,490400
ARI201704260,490415
ARI201704270,490426
ARI201704280,490435
ARI201704290,490450
ARI201704300,490465
ARI201705090,490587
ARI201705100,490603
ARI201705110,490620
ARI201705120,490635
ARI201705130,490650
ARI201705140,490665
ARI201705150,490674
ARI201705160,490686
ARI201705170,490700
ARI201705220,490763
